"","author","title","journal","year","volume","issue","bpage","epage","type"
"416","W Bischoff","A functional central limit theorem for regression models","The Annals of Statistics",1998,26,"4",1398,1410,"statistics"
"417","W Stute, S Thies, LX Zhu","Model checks for regression: An innovation process approach","The Annals of Statistics",1998,26,"5",1916,1934,"statistics"
"418","HV Poor","Quickest detection with exponential penalty for delay","The Annals of Statistics",1998,26,"6",2179,2205,"statistics"
"419","RJ Carroll, K Roeder, L Wasserman","Flexible parametric measurement error models","Biometrics",1999,55,"1",44,54,"statistics"
"420","AL Halpern","Minimally selected p and other tests for a single abrupt changepoint in a binary sequence","Biometrics",1999,55,"4",1044,1050,"statistics"
"421","VK Jandhyala, SB Fotopoulos","Capturing the distributional behaviour of the maximum likelihood estimator of a changepoint","Biometrika",1999,86,"1",129,140,"statistics"
"422","K Anraku","An information criterion for parameters under a simple order restriction","Biometrika",1999,86,"1",141,152,"statistics"
"423","A Fasso","One-sided MEWMA control charts","Communications in Statistics: Simulation and Computation",1999,28,"2",381,401,"statistics"
"424","M Frisen, P Wessman","Evaluations of likelihood ratio methods for surveillance. Differences and robustness.","Communications in Statistics: Simulation and Computation",1999,28,"3",597,622,"statistics"
"425","F Lombard","A rank test for constancy of a location or scale parameter","Communications in Statistics: Theory and Methods",1999,28,"3-4",537,547,"statistics"
"426","RT Ogden, GL Collier","On detecting and modeling deterministic drift in long run sequences of tapping data","Communications in Statistics: Theory and Methods",1999,28,"3-4",977,987,"statistics"
"427","N Sugiura, N Takaoka","Homogeneity of variances in normal linear regression with a change point","Communications in Statistics: Theory and Methods",1999,28,"12",2785,2801,"statistics"
"428","C Contal, J O'quigley","An application of changepoint methods in studying the effect of age on survival in breast cancer","Computational Statistics & Data Analysis",1999,30,"3",253,270,"statistics"
"429","A Luceno","Average run lengths and run length probability distributions for cuscore charts to control normal mean","Computational Statistics & Data Analysis",1999,32,"2",177,195,"statistics"
"430","A Sen","Approximate p-values of predictive tests for structural stability","Economics Letters",1999,63,"3",245,253,"econometrics"
"431","JLCI Silvestre, ASI Rossello, MA Ortuno","Response surfaces estimates for the Dickey-Fuller unit root test with structural breaks","Economics Letters",1999,63,"3",279,283,"econometrics"
"432","CA Greene","Testing for a break at an unknown change-point: a test with known size in small samples","Economics Letters",1999,64,"1",13,16,"econometrics"
"433","P Arestis, IBF Mariscal","Unit roots and structural breaks in OECD unemployment","Economics Letters",1999,65,"2",149,156,"econometrics"
"434","CM Kuan","A note on tests for partial parameter instability in the trend stationary model","Economics Letters",1999,65,"3",285,291,"econometrics"
"435","H Lutkepohl, T Terasvirta, J Wolters","Investigating stability and linearity of a German M1 money demand function","Journal of Applied Econometrics",1999,14,"5",511,525,"econometrics"
"436","M Merz","Time series evidence of unemployment flows: The sample period matters","Journal of Business & Economic Statistics",1999,17,"3",324,334,"econometrics"
"437","AR Hall","Structural stability testing in models estimated by generalized method of moments","Journal of Business & Economic Statistics",1999,17,"3",335,348,"econometrics"
"438","TJ Vogelsang","Sources of nonmonotonic power when testing for a shift in mean of a dynamic time series","Journal of Econometrics",1999,88,"2",283,299,"econometrics"
"439","CFJ Lin, T Terasvirta","Testing parameter constancy in linear models against stochastic stationary parameters","Journal of Econometrics",1999,90,"2",193,213,"econometrics"
"440","E Ghysels, A Guay, A Hall","Predictive tests for structural change with unknown breakpoint (vol 82, pg 209, 1997)","Journal of Econometrics",1999,90,"2",337,343,"econometrics"
"441","J Bai","Likelihood ratio tests for multiple structural changes","Journal of Econometrics",1999,91,"2",299,323,"econometrics"
"442","RL Lumsdaine, S Ng","Testing for ARCH in the presence of a possibly misspecified conditional mean","Journal of Econometrics",1999,93,"2",257,279,"econometrics"
"443","L Horvath, P Kokoszka, J Steinebach","Testing for changes in multivariate dependent observations with an application to temperature changes","Journal of Multivariate Analysis",1999,68,"1",96,119,"statistics"
"444","M Huskova","Gradual changes versus abrupt changes","Journal of Statistical Planning and Inference",1999,76,"1-2",109,125,"statistics"
"445","PJ Avery, DA Henderson","Detecting a changed segment in DNA sequences","Journal of the Royal Statistical Society C",1999,48,NA,489,503,"statistics"
"446","CS Leung, MS Patel, CA Mcgilchrist","A distribution-free regional cumulative sum for identifying hyperendemic periods of disease incidence","Journal of the Royal Statistical Society D",1999,48,NA,215,225,"statistics"
"447","MF Omran, E Mckenzie","Testing for covariance stationarity in the UK all-equity returns","Journal of the Royal Statistical Society D",1999,48,NA,361,369,"statistics"
"448","RF Engle, AD Smith","Stochastic permanent breaks","Review of Economics and Statistics",1999,81,"4",553,574,"econometrics"
"449","CJ Kim, CR Nelson","Has the US economy become more stable? A Bayesian approach based on a Markov-switching model of the business cycle","Review of Economics and Statistics",1999,81,"4",608,616,"econometrics"
"450","WR Parke","What is fractional integration?","Review of Economics and Statistics",1999,81,"4",632,638,"econometrics"
"451","J Chen, AK Gupta","Change point analysis of a Gaussian model","Statistical Papers",1999,40,"3",323,333,"statistics"
"452","HG Muller, U Stadtmuller","Discontinuous versus smooth regression","The Annals of Statistics",1999,27,"1",299,337,"statistics"
"453","B Yakir, AM Krieger, M Pollak","Detecting a change in regression: First-order optimality","The Annals of Statistics",1999,27,"6",1896,1913,"statistics"
"454","L Knorr-Held, G Rasser","Bayesian detection of clusters and discontinuities in disease maps","Biometrics",2000,56,"1",13,21,"statistics"
"455","DK Pauler, NM Laird","A mixture model for longitudinal data with application to assessment of noncompliance","Biometrics",2000,56,"2",464,472,"statistics"
"456","AL Halpern","Multiple-changepoint testing for an alternating segments model of a binary sequence","Biometrics",2000,56,"3",903,908,"statistics"
"457","H Kozumi","Bayesian analysis of discrete survival data with a hidden Markov chain","Biometrics",2000,56,"4",1002,1006,"statistics"
"458","JV Braun, RK Braun, HG Muller","Multiple changepoint fitting via quasilikelihood, with application to DNA sequence segmentation","Biometrika",2000,87,"2",301,314,"statistics"
"459","MC Morais, A Pacheco","On the performance of combined EWMA schemes for mu and sigma: A Markovian approach","Communications in Statistics: Simulation and Computation",2000,29,"1",153,174,"statistics"
"460","E Jarpe, P Wessman","Some power aspects of methods for detecting different shifts in the mean","Communications in Statistics: Simulation and Computation",2000,29,"2",633,646,"statistics"
"461","CJ Xiong, GA Milliken","Changepoints in stochastic ordering","Communications in Statistics: Theory and Methods",2000,29,"2",381,400,"statistics"
"462","S Kim, S Cho, S Lee","On the cusum test for parameter changes in GARCH(1,1) models","Communications in Statistics: Theory and Methods",2000,29,"2",445,462,"statistics"
"463","LC Alwan","Designing an effective exponential CUSUM chart without the use of nomographs","Communications in Statistics: Theory and Methods",2000,29,"12",2879,2893,"statistics"
"464","VK Jandhyala, SB Fotopoulos, NE Evaggelopoulos","A comparison of unconditional and conditional solutions to the maximum likelihood estimation of a change-point","Computational Statistics & Data Analysis",2000,34,"3",315,334,"statistics"
"465","P Lavergne, Q Vuong","Nonparametric significance testing","Econometric Theory",2000,16,"4",576,601,"econometrics"
"466","F Leisch, K Hornik, CM Kuan","Monitoring structural changes with the generalized fluctuation test","Econometric Theory",2000,16,"6",835,854,"econometrics"
"467","BE Hansen","Sample splitting and threshold estimation","Econometrica",2000,68,"3",575,603,"econometrics"
"468","H White","A reality check for data snooping","Econometrica",2000,68,"5",1097,1126,"econometrics"
"469","M Bahmani-Oskooee, MT Bohl","German monetary unification and the stability of the German M3 money demand function","Economics Letters",2000,66,"2",203,208,"econometrics"
"470","J Lee","On the end-point issue in unit root tests in the presence of a structural break","Economics Letters",2000,68,"1",7,11,"econometrics"
"471","M Funk, J Strauss","The long-run relationship between productivity and capital","Economics Letters",2000,69,"2",213,217,"econometrics"
"472","GM Martin","US deficit sustainability: A new approach based on multiple endogenous breaks","Journal of Applied Econometrics",2000,15,"1",83,105,"econometrics"
"473","AC Arize","Exchange-rate volatility and foreign trade: Evidence from thirteen LDC's","Journal of Business & Economic Statistics",2000,18,"1",10,17,"econometrics"
"474","B Freidlin, JL Gastwirth","Changepoint tests designed for the analysis of hiring data arising in employment discrimination cases","Journal of Business & Economic Statistics",2000,18,"3",315,322,"econometrics"
"475","JH Wang, E Zivot","A Bayesian time series model of multiple structural changes in level, trend, and variance","Journal of Business & Economic Statistics",2000,18,"3",374,386,"econometrics"
"476","P Saikkonen, H Lutkepohl","Testing for the cointegrating rank of a VAR process with structural shifts","Journal of Business & Economic Statistics",2000,18,"4",451,464,"econometrics"
"477","JY Kim","Detection of change in persistence of a linear time series","Journal of Econometrics",2000,95,"1",97,116,"econometrics"
"478","A Timmermann","Moments of Markov switching models","Journal of Econometrics",2000,96,"1",75,111,"econometrics"
"479","MA Delgado, J Hidalgo","Nonparametric inference on structural breaks","Journal of Econometrics",2000,96,"1",113,144,"econometrics"
"480","BE Hansen","Testing for structural change in conditional models","Journal of Econometrics",2000,97,"1",93,115,"econometrics"
"481","J Marriott, P Newbold","The strength of evidence for unit autoregressive roots and structural breaks: A Bayesian perspective","Journal of Econometrics",2000,98,"1",1,25,"econometrics"
"482","D Ferger","Optimal tests for the general two-sample problem","Journal of Multivariate Analysis",2000,74,"1",1,35,"statistics"
"483","D Conniffe, JE Spencer","Approximating the distribution of the maximum partial sum of normal deviates","Journal of Statistical Planning and Inference",2000,88,"1",19,27,"statistics"
"484","I Grabovsky, L Horvath, M Huskova","Limit theorems for kernel-type estimators for the time of change","Journal of Statistical Planning and Inference",2000,89,"1-2",25,56,"statistics"
"485","M Huskova, J Steinebach","Limit theorems for a class of tests of gradual changes","Journal of Statistical Planning and Inference",2000,89,"1-2",57,77,"statistics"
"486","J Antoch, M Huskova","Bayesian-type estimators of change points","Journal of Statistical Planning and Inference",2000,91,"2",195,208,"statistics"
"487","L Horvath, J Steinebach","Testing for changes in the mean or variance of a stochastic process under weak invariance","Journal of Statistical Planning and Inference",2000,91,"2",365,376,"statistics"
"488","ZG Stoumbos, MR Reynolds, TP Ryan, WH Woodall","The state of statistical process control as we proceed into the 21st century","Journal of the American Statistical Association",2000,95,"451",992,998,"statistics"
"489","J Polzehl, VG Spokoiny","Adaptive weights smoothing with applications to image restoration","Journal of the Royal Statistical Society B",2000,62,NA,335,354,"statistics"
"490","A Pievatolo, R Rotondi","Analysing the interevent time distribution to identify seismicity phases: a Bayesian nonparametric approach to the multiple-changepoint problem","Journal of the Royal Statistical Society C",2000,49,NA,543,562,"statistics"
"491","F Abramovich, TC Bailey, T Sapatinas","Wavelet analysis and its statistical applications","Journal of the Royal Statistical Society D",2000,49,NA,1,29,"statistics"
"492","OO Atienza, LC Tang, BW Ang","A uniformly most powerful cumulative sum scheme based on symmetry","Journal of the Royal Statistical Society D",2000,49,NA,209,217,"statistics"
"493","Y Fan, SP Brooks","Bayesian modelling of prehistoric corbelled domes","Journal of the Royal Statistical Society D",2000,49,NA,339,354,"statistics"
"494","E Gombay","U-statistics for sequential change detection","Metrika",2000,52,"2",133,145,"statistics"
"495","DH Papell, CJ Murray, H Ghiblawi","The structure of unemployment","Review of Economics and Statistics",2000,82,"2",309,315,"econometrics"
"496","L Horvath, P Kokoszka, J Steinebach","Approximations for weighted bootstrap processes with an application","Statistics & Probability Letters",2000,48,"1",59,70,"statistics"
"497","A Montanes, M Reyes","Structural breaks, unit roots and methods for removing the autocorrelation pattern","Statistics & Probability Letters",2000,48,"4",401,409,"statistics"
"498","E Gombay","Sequential change-point detection with likelihood ratios","Statistics & Probability Letters",2000,49,"2",195,204,"statistics"
"499","P Hall, C Rau","Tracking a smooth fault line in a response surface","The Annals of Statistics",2000,28,"3",713,733,"statistics"
"500","M Beibel","A note on sequential detection with exponential penalty for the delay","The Annals of Statistics",2000,28,"6",1696,1701,"statistics"
"501","JC Liechty, GO Roberts","Markov chain Monte Carlo methods for switching diffusion models","Biometrika",2001,88,"2",299,315,"statistics"
"502","WB Wu, M Woodroofe, G Mentz","Isotonic regression: Another look at the changepoint problem","Biometrika",2001,88,"3",793,804,"statistics"
"503","PJ Green, A Mira","Delayed rejection in reversible jump Metropolis-Hastings","Biometrika",2001,88,"4",1035,1053,"statistics"
"504","MS Srivastava, TKS Solanky, AK Sen","Power comparison of some tests for detecting a change in the multivariate mean","Communications in Statistics: Simulation and Computation",2001,30,"1",19,36,"statistics"
"505","YP Chang","Estimation of parameters for nonhomogeneous Poisson process: Software reliability with change-point model","Communications in Statistics: Simulation and Computation",2001,30,"3",623,635,"statistics"
"506","J Chen, AK Gupta","On change point detection and estimation","Communications in Statistics: Simulation and Computation",2001,30,"3",665,697,"statistics"
"507","H Boudjellaba, B Macgibbon, P Sawyer","On exact inference for change in a poisson sequence","Communications in Statistics: Theory and Methods",2001,30,"3",407,434,"statistics"
"508","KY Ding","Properties of the minimum point of an unbalanced two-sided random walk","Communications in Statistics: Theory and Methods",2001,30,"11",2393,2414,"statistics"
"509","D Barry","Bayesian smoothing with occasional jumps","Communications in Statistics: Theory and Methods",2001,30,"12",2707,2719,"statistics"
"510","T Friede, F Miller, W Bischoff, M Kieser","A note on change point estimation in dose-response trials","Computational Statistics & Data Analysis",2001,37,"2",219,232,"statistics"
"511","DM Hawkins","Fitting multiple change-point models to data","Computational Statistics & Data Analysis",2001,37,"3",323,341,"statistics"
"512","TTL Chong","Structural change in AR(1) models","Econometric Theory",2001,17,"1",87,155,"econometrics"
"513","A Inoue","Testing for distributional change in time series","Econometric Theory",2001,17,"1",156,187,"econometrics"
"514","M Caner, BE Hansen","Threshold autoregression with a unit root","Econometrica",2001,69,"6",1555,1596,"econometrics"
"515","CC Hsu","Change point estimation in regressions with I(d) variables","Economics Letters",2001,70,"2",147,155,"econometrics"
"516","J Yang","Structural change tests under regression misspecifications","Economics Letters",2001,70,"3",311,317,"econometrics"
"517","ACBD Lopes","The robustness of tests for seasonal differencing to structural breaks","Economics Letters",2001,71,"2",173,179,"econometrics"
"518","MY Chen, CM Kuan","Testing parameter constancy in models with infinite variance errors","Economics Letters",2001,72,"1",11,18,"econometrics"
"519","B Candelon, H Lutkepohl","On the reliability of Chow-type tests for parameter constancy in multivariate dynamic models","Economics Letters",2001,73,"2",155,160,"econometrics"
"520","H Berger, H Jensen, G Schjelderup","To peg or not to peg? A simple model of exchange rate regime choice in small economies","Economics Letters",2001,73,"2",161,167,"econometrics"
"521","R Luger","A modified CUSUM test for orthogonal structural changes","Economics Letters",2001,73,"3",301,306,"econometrics"
"522","WA Bartley, JS Lee, MC Strazicich","Testing the null of cointegration in the presence of a structural break","Economics Letters",2001,73,"3",315,323,"econometrics"
"523","J Strauss, T Yigit","Present value model, heteroscedasticity and parameter stability tests","Economics Letters",2001,73,"3",375,378,"econometrics"
"524","M Marcellino, GE Mizon","Small-system modelling of real wages, inflation, unemployment and output per capita in Italy 1970-1994","Journal of Applied Econometrics",2001,16,"3",359,370,"econometrics"
"525","CJ O'donnell, AN Rambaldi, HE Doran","Estimating economic relationships subject to firm- and time-varying equality and inequality constraints","Journal of Applied Econometrics",2001,16,"6",709,726,"econometrics"
"526","G Coenen, JL Vega","The demand for M3 in the euro area","Journal of Applied Econometrics",2001,16,"6",727,748,"econometrics"
"527","AK Tahmiscioglu","Intertemporal variation in financial constraints on investment: A time-varying parameter approach using panel data","Journal of Business & Economic Statistics",2001,19,"2",153,165,"econometrics"
"528","A Timmermann","Structural breaks, incomplete information, and stock prices","Journal of Business & Economic Statistics",2001,19,"3",299,314,"econometrics"
"529","DWK Andrews, B Lu","Consistent model and moment selection procedures for GMM estimation with application to dynamic panel data models","Journal of Econometrics",2001,101,"1",123,164,"econometrics"
"530","MYJ Zhang, JR Russell, RS Tsay","A nonlinear autoregressive conditional duration model with applications to financial transaction data","Journal of Econometrics",2001,104,"1",179,207,"econometrics"
"531","FX Diebold, A Inoue","Long memory and regime switching","Journal of Econometrics",2001,105,"1",131,159,"econometrics"
"532","E Gombay","U-statistics for change under alternatives","Journal of Multivariate Analysis",2001,78,"1",139,158,"statistics"
"533","L Horvath","Change-point detection in long-memory processes","Journal of Multivariate Analysis",2001,78,"2",218,234,"statistics"
"534","D Ferger","Exponential and polynomial tailbounds for change-point estimators","Journal of Statistical Planning and Inference",2001,92,"1-2",73,109,"statistics"
"535","Y Rozenholc","Nonparametric tests of change-points with tapered data","Journal of Time Series Analysis",2001,22,"1",13,43,"statistics"
"536","F Busetti, A Harvey","Testing for the presence of a random walk in series with structural breaks","Journal of Time Series Analysis",2001,22,"2",127,150,"statistics"
"537","SJ Skates, DK Pauler, IJ Jacobs","Screening based on the risk of cancer calculation from Bayesian hierarchical changepoint and mixture models of longitudinal markers","Journal of the American Statistical Association",2001,96,"454",429,439,"statistics"
"538","C Han, BP Carlin","Markov chain Monte Carlo methods for computing Bayes factors: A comparative review","Journal of the American Statistical Association",2001,96,"455",1122,1132,"statistics"
"539","PA Rogerson","Monitoring point patterns for the development of space-time clusters","Journal of the Royal Statistical Society A",2001,164,NA,87,96,"statistics"
"540","P Hall, L Peng, C Rau","Local likelihood tracking of fault lines and boundaries","Journal of the Royal Statistical Society B",2001,63,NA,569,582,"statistics"
"541","R Perez-Ocon, JE Ruiz-Castro, ML Gamiz-Perez","Non-homogeneous Markov models in the analysis of survival after breast cancer","Journal of the Royal Statistical Society C",2001,50,NA,111,124,"statistics"
"542","PJ Avery","The effect of dependence in a binary sequence on tests for a changepoint or a changed segment","Journal of the Royal Statistical Society C",2001,50,NA,243,246,"statistics"
"543","SA Julious","Inference and estimation in a changepoint regression problem","Journal of the Royal Statistical Society D",2001,50,NA,51,61,"statistics"
"544","ZM Chen, D Ferger, J Mi","Estimation of the change point of a distribution based on the number of failed test items","Metrika",2001,53,"1",31,38,"statistics"
"545","PD Bourke","Sample size and the Binomial CUSUM Control Chart: the case of 100% inspection","Metrika",2001,53,"1",51,70,"statistics"
"546","MN Baily, EJ Bartelsman, J Haltiwanger","Labor productivity: Structural change and cyclical dynamics","Review of Economics and Statistics",2001,83,"3",420,433,"econometrics"
"547","TTL Chong","Estimating the locations and number of change points by the sample-splitting method","Statistical Papers",2001,42,"1",53,79,"statistics"
"548","S Fotopoulos, V Jandhyala","Maximum likelihood estimation of a change-point for exponentially distributed random variables","Statistics & Probability Letters",2001,51,"4",423,429,"statistics"
"549","J Antoch, M Huskova","Permutation tests in change point analysis","Statistics & Probability Letters",2001,53,"1",37,46,"statistics"
"550","M Baron, AL Rukhin","Perpetuities and asymptotic change-point analysis","Statistics & Probability Letters",2001,55,"1",29,38,"statistics"
"551","CL Faucett, N Schenker, JMG Taylor","Survival analysis using auxiliary variables via multiple imputation, with application to AIDS clinical trial data","Biometrics",2002,58,"1",37,47,"statistics"
"552","J Staudenmayer, D Spiegelman","Segmented regression in the presence of covariate measurement error in main study/validation study designs","Biometrics",2002,58,"4",871,877,"statistics"
"553","RB Davies","Hypothesis testing when a nuisance parameter is present only under the alternative: Linear model case","Biometrika",2002,89,"2",484,489,"statistics"
"554","YQ Chen, CA Rohde, MC Wang","Additive hazards models with latent treatment effectiveness lag time","Biometrika",2002,89,"4",917,931,"statistics"
"555","N Balakrishnan, MR Brito, AJ Quiroz","Using large order statistics of runs for tracking a changing Bernoulli probability","Communications in Statistics: Theory and Methods",2002,31,"5",719,732,"statistics"
"556","R Noorossana, WH Woodall, S Amiriparian","On the economic design of multivariate control charts","Communications in Statistics: Theory and Methods",2002,31,"9",1665,1673,"statistics"
"557","PE Maravelakis, S Bersimis, J Panaretos, S Psarakis","Identifying the out of control variable in a multivariate control chart","Communications in Statistics: Theory and Methods",2002,31,"12",2391,2408,"statistics"
"558","A Luceno, J Puig-Pey","An accurate algorithm to compute the run length probability distribution, and its convolutions, for a Cusum chart to control normal mean","Computational Statistics & Data Analysis",2002,38,"3",249,261,"statistics"
"559","RH Loschi, FRB Cruz","An analysis of the influence of some prior specifications in the identification of change points via product partition model","Computational Statistics & Data Analysis",2002,39,"4",477,501,"statistics"
"560","VK Jandhyala, SB Fotopoulos, DM Hawkins","Detection and estimation of abrupt changes in the variability of a process","Computational Statistics & Data Analysis",2002,40,"1",1,19,"statistics"
"561","P Saikkonen, H Lutkepohl","Testing for a unit root in a time series with a level shift at unknown time","Econometric Theory",2002,18,"2",313,348,"econometrics"
"562","I Fiteni","Robust estimation of structural break points","Econometric Theory",2002,18,"2",349,386,"econometrics"
"563","G Forchini","Optimal similar tests for structural change for the linear regression model","Econometric Theory",2002,18,"4",853,867,"econometrics"
"564","M Jansson, N Haldrup","Regression theory for nearly cointegrated time series","Econometric Theory",2002,18,"6",1309,1335,"econometrics"
"565","VJ Gabriel, Z Psaradakis, M Sola","A simple method of testing for cointegration subject to mutiple regime changes","Economics Letters",2002,76,"2",213,221,"econometrics"
"566","DI Harvey, SJ Leybourne, P Newbold","Seasonal unit root tests with seasonal mean shifts","Economics Letters",2002,76,"2",295,302,"econometrics"
"567","LA Gil-Alana","Structural breaks and fractional integration in the US output and unemployment rate","Economics Letters",2002,77,"1",79,84,"econometrics"
"568","M Chauvet, S Potter","Predicting a recession: evidence from the yield curve in the presence of structural breaks","Economics Letters",2002,77,"2",245,253,"econometrics"
"569","LA Gil-Alana","A mean shift break in the US interest rate","Economics Letters",2002,77,"3",357,363,"econometrics"
"570","E Andreou, E Ghysels","Detecting multiple breaks in financial market volatility dynamics","Journal of Applied Econometrics",2002,17,"5",579,600,"econometrics"
"571","E Zivot, DWK Andrews","Further evidence on the great crash, the oil-price shock, and the unit-root hypothesis (Reprinted)","Journal of Business & Economic Statistics",2002,20,"1",25,44,"econometrics"
"572","BE Hansen","Tests for parameter instability in regressions with I(1) processes (Reprinted)","Journal of Business & Economic Statistics",2002,20,"1",45,59,"econometrics"
"573","N Gospodinov","Bootstrap-based inference in models with a nearly noninvertible moving average component","Journal of Business & Economic Statistics",2002,20,"2",254,268,"econometrics"
"574","ZJ Xiao, PCB Phillips","A CUSUM test for cointegration using regression residuals","Journal of Econometrics",2002,108,"1",43,61,"econometrics"
"575","E Kurozumi","Testing for stationarity with a break","Journal of Econometrics",2002,108,"1",63,99,"econometrics"
"576","J Breitung","Nonparametric tests for unit roots and cointegration","Journal of Econometrics",2002,108,"2",343,363,"econometrics"
"577","M Carrasco","Misspecified structural change, threshold, and Markov-switching models","Journal of Econometrics",2002,109,"2",239,273,"econometrics"
"578","MA Delgado, I Fiteni","External bootstrap tests for parameter stability","Journal of Econometrics",2002,109,"2",275,303,"econometrics"
"579","TH Kim, S Leybourne, P Newbold","Unit root tests with a break in innovation variance","Journal of Econometrics",2002,109,"2",365,387,"econometrics"
"580","BE Hansen, B Seo","Testing for two-regime threshold cointegration in vector error-correction models","Journal of Econometrics",2002,110,"2",293,318,"econometrics"
"581","S Lundbergh, T Terasvirta","Evaluating GARCH models","Journal of Econometrics",2002,110,"2",417,435,"econometrics"
"582","G Gregoire, Z Hamrouni","Change point estimation by local linear smoothing","Journal of Multivariate Analysis",2002,83,"1",56,83,"statistics"
"583","E Gombay, L Horvath","Rates of convergence for U-statistic processes and their bootstrapped versions","Journal of Statistical Planning and Inference",2002,102,"2",247,272,"statistics"
"584","AL Rukhin","Asymptotic behavior of posterior distribution of the change-point parameter","Journal of Statistical Planning and Inference",2002,105,"2",327,345,"statistics"
"585","HL Koul, L Qian","Asymptotics of maximum likelihood estimator in a two-phase linear regression model","Journal of Statistical Planning and Inference",2002,108,"1-2",99,119,"statistics"
"586","BK Ray, RS Tsay","Bayesian methods for change-point detection in long-range dependent processes","Journal of Time Series Analysis",2002,23,"6",687,705,"statistics"
"587","P Hall, L Simar","Estimating a changepoint, boundary, or frontier in the presence of observation error","Journal of the American Statistical Association",2002,97,"458",523,534,"statistics"
"588","VK Jandhyala, DM Hawkins, SB Fotopoulos","Testing and locating variance changepoints with applications to stock prices (vol 92, pg 738)","Journal of the American Statistical Association",2002,97,"458",661,661,"statistics"
"589","B Larget, DL Simon, JB Kadane","Bayesian phylogenetic inference from animal mitochondrial genome arrangements","Journal of the Royal Statistical Society B",2002,64,NA,681,693,"statistics"
"590","K Moeltner, DF Layton","A censored random coefficients model for pooled survey data with application to the estimation of power outage costs","Review of Economics and Statistics",2002,84,"3",552,561,"econometrics"
"591","A Steland","Nonparametric monitoring of financial time series by jump-preserving control charts","Statistical Papers",2002,43,"3",401,422,"statistics"
"592","A Aue, J Steinebach","A note on estimating the change-point of a gradually changing stochastic process","Statistics & Probability Letters",2002,56,"2",177,191,"statistics"
"593","J Huh, KC Carriere","Estimation of regression functions with a discontinuity in a derivative with local polynomial fits","Statistics & Probability Letters",2002,56,"3",329,343,"statistics"
"594","JC Fu, FA Spiring, HS Xie","On the average run lengths of quality control schemes using a Markov chain approach","Statistics & Probability Letters",2002,56,"4",369,380,"statistics"
"595","Z Psaradakis","On the asymptotic behaviour of unit-root tests in the presence of a Markov trend","Statistics & Probability Letters",2002,57,"1",101,109,"statistics"
"596","LC Zhao, LM Peng","Model selection under order restriction","Statistics & Probability Letters",2002,57,"4",301,306,"statistics"
"597","G Chiu, R Lockhart, R Routledge","Bent-cable asymptotics when the bend is missing","Statistics & Probability Letters",2002,59,"1",9,16,"statistics"
"598","S Cook","Correcting size distortion of the Dickey-Fuller test via recursive mean adjustment","Statistics & Probability Letters",2002,60,"1",75,79,"statistics"
"599","V Moskvina, A Zhigljavsky","An algorithm based on singular spectrum analysis for change-point detection","Communications in Statistics: Simulation and Computation",2003,32,"2",319,352,"statistics"
"600","S Lee, S Lee","Testing heterogeneity for frailty distribution in shared frailty model","Communications in Statistics: Theory and Methods",2003,32,"11",2245,2253,"statistics"
"601","CB Hall, J Ying, L Kuo, RB Lipton","Bayesian and profile likelihood change point methods for modeling cognitive function over time","Computational Statistics & Data Analysis",2003,42,"1-2",91,109,"statistics"
"602","T Hothorn, B Lausen","On the exact distribution of maximally selected rank statistics","Computational Statistics & Data Analysis",2003,43,"2",121,137,"statistics"
"603","A Zeileis, C Kleiber, W Kramer, K Hornik","Testing and dating of structural changes in practice","Computational Statistics & Data Analysis",2003,44,"1-2",109,123,"statistics"
"604","AR Hall, A Inoue, FPM Peixe","Covariance matrix estimation and the limiting behavior of the overidentifying restrictions test in the presence of neglected structural instability","Econometric Theory",2003,19,"6",962,983,"econometrics"
"605","A Estrella","Critical values and p values of bessel process distributions: Computation and application to structural break tests","Econometric Theory",2003,19,"6",1128,1143,"econometrics"
"606","DWK Andrews","Tests for parameter instability and structural change with unknown change point (vol 71, pg 395, 2003)","Econometrica",2003,71,"1",395,397,"econometrics"
"607","DWK Andrews","End-of-sample instability tests","Econometrica",2003,71,"6",1661,1694,"econometrics"
"608","DA Peel, C Ioannidis","Empirical evidence on the relationship between the term structure of interest rates and future real output changes when there are changes in policy regimes","Economics Letters",2003,78,"2",147,152,"econometrics"
"609","IM Kim","Operational time of the Korea stock markets","Economics Letters",2003,78,"2",181,185,"econometrics"
"610","MJ Presno, AJ Lopez","Response surface estimates of stationarity tests with a structural break","Economics Letters",2003,78,"3",395,399,"econometrics"
"611","JF Lamarche","A robust bootstrap test under heteroskedasticity","Economics Letters",2003,79,"3",353,359,"econometrics"
"612","RS Higgins, PA Johnson","The mean effect of structural change on the dependent variable is accurately measured by the intercept change alone","Economics Letters",2003,80,"2",255,259,"econometrics"
"613","GM Caporale, N Pittis, P Sakellis","Testing for PPP: the erratic behaviour of unit root tests","Economics Letters",2003,80,"2",277,284,"econometrics"
"614","A Datta","Time-series tests of convergence and transitional dynamics","Economics Letters",2003,81,"2",233,240,"econometrics"
"615","JL Carrion-i-Silvestre","Breaking date misspecification error for the level shift KPSS test","Economics Letters",2003,81,"3",365,371,"econometrics"
"616","J Bai, P Perron","Computation and analysis of multiple structural change models","Journal of Applied Econometrics",2003,18,"1",1,22,"econometrics"
"617","S Lundbergh, T Terasvirta, D Van dijk","Time-varying smooth transition autoregressive models","Journal of Business & Economic Statistics",2003,21,"1",104,121,"econometrics"
